marketPk,eventPk,marketTitle,marketType,outcome,outcomeIndex,truePrice,spread,steps,toReturn,toLose,depthPercentages,seed
HnyMbo2f987fEdao8CPG6U9f4NgB2SjSqaheYnrY2Q6i,Dta53STtXunvq6nbPmpDYFSEJncEZsj5KFDyim1ktUdX,Full Time Result,EventResultFullTime,Borussia Moenchengladbach,0,2,2,2,100,100,"100,75,50",FALSE
HnyMbo2f987fEdao8CPG6U9f4NgB2SjSqaheYnrY2Q6i,Dta53STtXunvq6nbPmpDYFSEJncEZsj5KFDyim1ktUdX,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
HnyMbo2f987fEdao8CPG6U9f4NgB2SjSqaheYnrY2Q6i,Dta53STtXunvq6nbPmpDYFSEJncEZsj5KFDyim1ktUdX,Full Time Result,EventResultFullTime,Union Berlin,2,2,2,2,100,100,"100,75,50",FALSE
8AwfXQ757kqm6JBP6MxLfPXTGZrcSq1HjnHGwuUdaPsp,EdPepSUVoQWS5cTRgEhafkpdymj2uYumdJd4MHLXY9X6,Winner,EventResultWinner,Kolkata Knight Riders,0,2,2,2,100,100,"100,75,50",FALSE
8AwfXQ757kqm6JBP6MxLfPXTGZrcSq1HjnHGwuUdaPsp,EdPepSUVoQWS5cTRgEhafkpdymj2uYumdJd4MHLXY9X6,Winner,EventResultWinner,Chennai Super Kings,1,2,2,2,100,100,"100,75,50",FALSE
6kLNijN3qdV4PhK4t9ie8Pk2ZMRxb3FwV12sfbT4ePek,En25rnGtj5yCm2aDzm7DPF5bQgChmrUwh5CqhnGuuaie,Full Time Result,EventResultFullTime,Udinese,0,2,2,2,100,100,"100,75,50",FALSE
6kLNijN3qdV4PhK4t9ie8Pk2ZMRxb3FwV12sfbT4ePek,En25rnGtj5yCm2aDzm7DPF5bQgChmrUwh5CqhnGuuaie,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
6kLNijN3qdV4PhK4t9ie8Pk2ZMRxb3FwV12sfbT4ePek,En25rnGtj5yCm2aDzm7DPF5bQgChmrUwh5CqhnGuuaie,Full Time Result,EventResultFullTime,Cremonese,2,2,2,2,100,100,"100,75,50",FALSE
GdWM6jMWtXynHutSo3E3xJVMT4dZoCB9PxBKVWsXP1fW,F53uvutFTQTJHTiQQyAjd9TXG1KNHNz2BzkRst54W9UM,Full Time Result,EventResultFullTime,Atalanta,0,2,2,2,100,100,"100,75,50",FALSE
GdWM6jMWtXynHutSo3E3xJVMT4dZoCB9PxBKVWsXP1fW,F53uvutFTQTJHTiQQyAjd9TXG1KNHNz2BzkRst54W9UM,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
GdWM6jMWtXynHutSo3E3xJVMT4dZoCB9PxBKVWsXP1fW,F53uvutFTQTJHTiQQyAjd9TXG1KNHNz2BzkRst54W9UM,Full Time Result,EventResultFullTime,AS Roma,2,2,2,2,100,100,"100,75,50",FALSE
6DBRzaiy2jeLKr5s4C9m2gd4cxjhpxdPaY6rpusNNkAe,FWbvzyfG5yFhDb2YJioatjHfVaiTZe5vScKy72wji3Rp,Winner,EventResultWinner,Sunrisers Hyderabad,0,2,2,2,100,100,"100,75,50",FALSE
6DBRzaiy2jeLKr5s4C9m2gd4cxjhpxdPaY6rpusNNkAe,FWbvzyfG5yFhDb2YJioatjHfVaiTZe5vScKy72wji3Rp,Winner,EventResultWinner,Delhi Capitals,1,2,2,2,100,100,"100,75,50",FALSE
DfXUPmTHy5Xb2DjrL8ZqAk7R7pa7vUMx9jLEkoJdPgRk,GA6cVmbUvWv1M4gdessJQN8ZcDbznCqmnz8bFdCQstB2,Full Time Result,EventResultFullTime,Lorient,0,2,2,2,100,100,"100,75,50",FALSE
DfXUPmTHy5Xb2DjrL8ZqAk7R7pa7vUMx9jLEkoJdPgRk,GA6cVmbUvWv1M4gdessJQN8ZcDbznCqmnz8bFdCQstB2,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
DfXUPmTHy5Xb2DjrL8ZqAk7R7pa7vUMx9jLEkoJdPgRk,GA6cVmbUvWv1M4gdessJQN8ZcDbznCqmnz8bFdCQstB2,Full Time Result,EventResultFullTime,Toulouse,2,2,2,2,100,100,"100,75,50",FALSE
